nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas
7 - ELEVEN,Jakarta Barat,Jl. KH. Syahdan No. 1,3,6,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,27/90
7 - ELEVEN,Jakarta Barat,"Rusunami Green Park,Jl. Daan Mogot KM. 14 Bl",,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Muwardi II No. 19,14,3,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,12/53
7 - ELEVEN,Jakarta Barat,Jl. Tanjung Duren Raya Blok R VI No. 542,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,"Green Garde,  Jl. Panjang Blok A-14 No. 28",,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Perjuangan No. 23,11,10,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Pos Pengumben Raya No. 10,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Mutiara Taman Palem Blok A-5 No. 10-11,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Meruya Ilir Raya No. 40,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,"Season City Unit 5/GF1 Lobby Barat, Jl. Prof. Dr. Latumeten No. 33",,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,8/37
7 - ELEVEN,Jakarta Barat,Jl. Mangga Besar Raya No. 41,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8561626,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Gajah Mada No. 188,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Hayam Wuruk No. 127 Jakarta 127 GF1 ( Out,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Hayam Wuruk No. 120 E-F,10,9,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Taman Stasiun Kota No. 1,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Hayam Wuruk No. 41,2,2,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Barat,Jl. Mesjid Al Anwar Berdikari No. 3,4,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8561626,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. KH. Samanhudi No. 79-81A,8,6,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Tanah Abang Timur No. 16,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Ternate No. 2,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8561626,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Medan Merdeka Timur No. 01,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Tanah Abang II No. 87 - 87A,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8561626,Cafetaria,21/93
7 - ELEVEN,Jakarta Pusat,Jl. Cikini Raya No. 40,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. HOS Cokroaminoto No. 70 A,,,Henri Honoris,PT. Modern Putra Indonesia,021 3921065,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. KH. Agus Salim/Jl. Sabang,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Cikini Raya No. 40,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Blora No. 01 (Jl. Kendal No. 1),,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Teuku Cik Ditiro No. 21,9,2,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,"Ruko Tower Pino, Jl. Jend. Ahmad Yani Kav. 49",,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Gunung Sahari XI No. 11,17,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. K.S. Tubun Aipda No. 65,,,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,8/32
7 - ELEVEN,Jakarta Pusat,Jl. Kroket Bunder Raya No. 81,8,6,Henri Honoris,PT. Modern Putra Indonesia,021 47861358,021 47861358,Cafetaria,18/72
7 - ELEVEN,Jakarta Pusat,Jl. Raya Mangga Besar No. 137 - 139,,,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,15/44
7 - ELEVEN,Jakarta Pusat,Jl. Salemba Raya No. 21,2,5,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8564644,Cafetaria,10/15
7 - ELEVEN,Jakarta Pusat,Jl. Kramat Bunder No. 1,16,1,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Raden Saleh No. 18,9,1,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. Teluk Betung No. 33,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8561626,Cafetaria,9/40
7 - ELEVEN,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 79,1,4,Henri Honoris,PT. Modern Putra Indonesia,021 3144354,021 8581620,Cafetaria,9/36
7 - ELEVEN,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 230,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,8/32
7 - ELEVEN,Jakarta Pusat,Jl. Bendungan Hilir Raya No. 23,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. KH. Mas Mansyur No. 4 & 6,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Pusat,Jl. KH. Agus Salim No. 32,2,1,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/50
7 - ELEVEN,Jakarta Selatan,Jl. Kapten Tendean No. 13,2,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8561620,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,"34-12407 SPBU Pertamina, Jl. Rerogong Raya",,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,9/40
7 - ELEVEN,Jakarta Selatan,"Blok M Square Lt. UG Blok TNT No. 005, Jl. Melawai V",,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,"Gd. Kamome Lt. 1, Jl. Melawai Raya No. 189 B",,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Bulungan I No. 64,,,Henri Honoris,PT. Modern Putra Indonesia,021 7202648,021 8581620,Cafetaria,8/32
7 - ELEVEN,Jakarta Selatan,Jl. RS. Fatmawati No. 3 D,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Panglima Polim No. 125,2,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,16/75
7 - ELEVEN,Jakarta Selatan,Jl. Melawai Raya No. 16,4,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/50
7 - ELEVEN,Jakarta Selatan,Jl. Taman Radio Dalam No. 2,6,13,Henri Honoris,PT.Modern Putra Indonesia,021 7205684,021 8581620,Cafetaria,10/50
7 - ELEVEN,Jakarta Selatan,Jl. Gandaria Tengah III No. 1,1,3,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Wolter Monginsidi No. 2A,1,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801606,021 8581620,Cafetaria,/
7 - ELEVEN,Jakarta Selatan,Grand ITC Permata Hijau Blok Emerald No. 19,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Gd.Hijau Raya No. 39,,,,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. RS. Fatmawati No. 4,1,4,Henri Honoris,PT. Modern Putra Indonesia,021 47861358,021 47861358,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Mampang Prapatan Raya No. 1,,,Henri Honoris,PT. Modern Putraindonesia,021 2801000,021 8581620,Cafetaria,9/40
7 - ELEVEN,Jakarta Selatan,Jl. Dr. Saharjo No. 321,10,11,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8561620,Cafetaria,20/80
7 - ELEVEN,Jakarta Selatan,Jl. Kemang Raya I No. 8A,,,Henri Honoris,PT. Modern Putra Indonesia,021 71823977,021 2801000,Cafetaria,20/80
7 - ELEVEN,Jakarta Selatan,Jl. Buncit Raya No. 40,14,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,13/59
7 - ELEVEN,Jakarta Selatan,Jl. Jend. Gatot Subroto Kav. 94,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Raya Pejaten No. 20 A,10,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Cileduk Raya No. 3,1,3,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,8/32
7 - ELEVEN,Jakarta Selatan,Jl. RC. Veteran K-8,4,3,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,28/112
7 - ELEVEN,Jakarta Selatan,Jl. Minangkabau No. 43,,,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,54/148
7 - ELEVEN,Jakarta Selatan,"The H Tower GF, Jl. HR. Rasuna Said Kav. C.20",,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. H.R Rasuna Said Kav. C-22,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8561620,Cafetaria,22/88
7 - ELEVEN,Jakarta Selatan,Jl. Prof. Dr. Satrio,1,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,7/44
7 - ELEVEN,Jakarta Selatan,Jl. Jend. Gatot Subroto Kav. 18-20,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Manggarai Utara No. 1,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Ciputat Raya No. 2,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,8/36
7 - ELEVEN,Jakarta Timur,Jl. Balai Pustaka Timur No. 5,,,Henri Honoris,PT. Modern Putra Indonesia,021 47861358,021 47861358,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Matraman Raya No. 12,2,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Matraman Raya No. 159,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Jatiwaringin Raya No. 12,7,13,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Pusat Grosir Cililitan (PGC) Lantai Ground Stall,,,Henri Honoris,PT. Modern Putra Indonesia,021 30016789,021 30019010,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Jatinegara Timur 107B RT001/RW002,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Otista Raya No. 63,,,Henri Hionoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,18/86
7 - ELEVEN,Jakarta Timur,Jl. Perumnas Raya Komp.Buaran Indah No. 104,,,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,14/90
7 - ELEVEN,Jakarta Timur,Jl. Pahlawan Revolusi No. 5,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
